"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC#1 Verify the PATCH Request","5518","test_Partial_Update_Booking","Default Suite","Thu Sep 11 18:26:39 IST 2025","passed","Thu Sep 11 18:26:44 IST 2025","com.avinashsinha.AAP6_PATCH_Request.APITesting11_Non_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP6_PATCH_Request.APITesting11_Non_BDD_Style","test_Partial_Update_Booking"
"TC#2 Verify GET Request Negative","27284","test_BDDStyle_GET_Req_Negative","Default Suite","Thu Sep 11 13:13:35 IST 2025","failed","Thu Sep 11 13:14:02 IST 2025","com.avinashsinha.AAP03_GET_Request.APITesting05_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP03_GET_Request.APITesting05_BDD_Style","test_BDDStyle_GET_Req_Negative"
"","27","test_softAssert","Default Suite","Mon Sep 15 18:57:01 IST 2025","failed","Mon Sep 15 18:57:01 IST 2025","com.avinashsinha.AAP9_Assertions.APITesting24_TestNG_Assertions","API_Automation_Programs","com.avinashsinha.AAP9_Assertions.APITesting24_TestNG_Assertions","test_softAssert"
"","11","test_regressionRun","All Test Suite","Fri Oct 03 12:49:14 IST 2025","passed","Fri Oct 03 12:49:14 IST 2025","com.avinashsinha.AAP08_testNG_Examples.APITesting15_Groups","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP08_testNG_Examples.APITesting15_Groups","test_regressionRun"
"","31","test_regressionRun","All Test Suite","Sun Sep 14 21:13:02 IST 2025","failed","Sun Sep 14 21:13:02 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","test_regressionRun"
"","11","test02","All Test Suite","Sun Sep 14 21:21:04 IST 2025","passed","Sun Sep 14 21:21:04 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting19_AlwaysRun","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting19_AlwaysRun","test02"
"","2","test_sanityRun","All Test Suite","Fri Oct 03 12:49:14 IST 2025","passed","Fri Oct 03 12:49:14 IST 2025","com.avinashsinha.AAP08_testNG_Examples.APITesting15_Groups","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP08_testNG_Examples.APITesting15_Groups","test_sanityRun"
"","1","test03","All Test Suite","Sun Sep 14 21:17:24 IST 2025","passed","Sun Sep 14 21:17:24 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting18_Enabled","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting18_Enabled","test03"
"TC#2 Verify that Invalid Pincode gives Error","41667","test_Get_Negative_TC2","Default Suite","Thu Sep 11 09:16:37 IST 2025","failed","Thu Sep 11 09:17:18 IST 2025","com.avinashsinha.AAP02_RA_TestNG_AllureReport.APITesting04_Multiple_TestCases_Fix","API_Automation_Programs","com.avinashsinha.AAP02_RA_TestNG_AllureReport.APITesting04_Multiple_TestCases_Fix","test_Get_Negative_TC2"
"TC#1 Verify the POST Request Positive","4097","test_BDDStyle_POST_Req_Positive","Default Suite","Thu Sep 11 13:15:45 IST 2025","passed","Thu Sep 11 13:15:49 IST 2025","com.avinashsinha.AAP4_POST_Request.APITesting08_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP4_POST_Request.APITesting08_BDD_Style","test_BDDStyle_POST_Req_Positive"
"TC#3 Verify that Invalid Pincode gives Error","119","test_Get_Negative_TC3","Default Suite","Thu Sep 11 09:17:19 IST 2025","failed","Thu Sep 11 09:17:19 IST 2025","com.avinashsinha.AAP02_RA_TestNG_AllureReport.APITesting04_Multiple_TestCases_Fix","API_Automation_Programs","com.avinashsinha.AAP02_RA_TestNG_AllureReport.APITesting04_Multiple_TestCases_Fix","test_Get_Negative_TC3"
"TC#1 Verify GET Request Positive","391","test_BDDStyle_GET_Req_Positive","Default Suite","Thu Sep 11 13:14:02 IST 2025","passed","Thu Sep 11 13:14:02 IST 2025","com.avinashsinha.AAP03_GET_Request.APITesting05_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP03_GET_Request.APITesting05_BDD_Style","test_BDDStyle_GET_Req_Positive"
"","10","demo1","All Test Suite","Sun Sep 21 00:04:16 IST 2025","passed","Sun Sep 21 00:04:16 IST 2025","com.avinashsinha.AAP08_testNG_Examples.APITesting17_Parameter","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP08_testNG_Examples.APITesting17_Parameter","demo1"
"","8","testPut","Default Suite","Sun Sep 14 18:41:08 IST 2025","passed","Sun Sep 14 18:41:08 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting13_BeforeTest","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting13_BeforeTest","testPut"
"","1","method1","Default Suite","Sun Sep 14 21:03:15 IST 2025","passed","Sun Sep 14 21:03:15 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting16_DependsOnMethod","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting16_DependsOnMethod","method1"
"TC#1 Verify the PUT Request","3911","test_Update_Booking","Default Suite","Thu Sep 11 18:05:44 IST 2025","passed","Thu Sep 11 18:05:47 IST 2025","com.avinashsinha.AAP5_PUT_Request.APITesting10_Non_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP5_PUT_Request.APITesting10_Non_BDD_Style","test_Update_Booking"
"","4402","test_createBooking_positive","Default Suite","Tue Sep 16 18:19:02 IST 2025","passed","Tue Sep 16 18:19:06 IST 2025","com.avinashsinha.AAP10_PayloadManagement.Gson.APITesting28_Gson","API_Automation_Programs","com.avinashsinha.AAP10_PayloadManagement.Gson.APITesting28_Gson","test_createBooking_positive"
"","1","test01","Default Suite","Mon Sep 15 16:52:05 IST 2025","passed","Mon Sep 15 16:52:05 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting20_InvocationCount","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting20_InvocationCount","test01"
"","2","test_sanityRun","All Test Suite","Sun Sep 14 21:13:02 IST 2025","passed","Sun Sep 14 21:13:02 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","test_sanityRun"
"","13","demo5","Default Suite","Mon Sep 15 16:59:52 IST 2025","passed","Mon Sep 15 16:59:52 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting22_All_Annotations_2","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting22_All_Annotations_2","demo5"
"","1","test01","All Test Suite","Sun Sep 14 21:21:04 IST 2025","unknown","Sun Sep 14 21:21:04 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting19_AlwaysRun","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting19_AlwaysRun","test01"
"","1","test_smokeRun","Default Suite","Fri Oct 03 12:49:00 IST 2025","passed","Fri Oct 03 12:49:00 IST 2025","com.avinashsinha.AAP08_testNG_Examples.APITesting15_Groups","API_Automation_Programs","com.avinashsinha.AAP08_testNG_Examples.APITesting15_Groups","test_smokeRun"
"","12","demo1","All Test Suite","Sun Sep 14 21:13:49 IST 2025","passed","Sun Sep 14 21:13:49 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting17_Parameter","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting17_Parameter","demo1"
"TC#1 Verify that Valid Pincode gives 200 Status Code","145","test_Get_Positive_TC1","Default Suite","Thu Sep 11 09:17:19 IST 2025","passed","Thu Sep 11 09:17:19 IST 2025","com.avinashsinha.AAP02_RA_TestNG_AllureReport.APITesting04_Multiple_TestCases_Fix","API_Automation_Programs","com.avinashsinha.AAP02_RA_TestNG_AllureReport.APITesting04_Multiple_TestCases_Fix","test_Get_Positive_TC1"
"","12","serverStartedOk","Default Suite","Sun Sep 14 21:03:15 IST 2025","passed","Sun Sep 14 21:03:15 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting16_DependsOnMethod","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting16_DependsOnMethod","serverStartedOk"
"","28","test01","All Test Suite","Sun Sep 14 21:17:24 IST 2025","passed","Sun Sep 14 21:17:24 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting18_Enabled","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting18_Enabled","test01"
"","16","demo1","All Test Suite","Sun Sep 14 21:13:37 IST 2025","passed","Sun Sep 14 21:13:37 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting17_Parameter","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting17_Parameter","demo1"
"","17","t4","Default Suite","Sun Sep 14 18:39:00 IST 2025","passed","Sun Sep 14 18:39:01 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting14_TestNG","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting14_TestNG","t4"
"TC#1 Verify the Booking Id","3793","GET_Booking_Ids","Default Suite","Thu Sep 11 13:14:22 IST 2025","passed","Thu Sep 11 13:14:26 IST 2025","com.avinashsinha.AAP03_GET_Request.APITesting07_GetBookingIds","API_Automation_Programs","com.avinashsinha.AAP03_GET_Request.APITesting07_GetBookingIds","GET_Booking_Ids"
"","9","test_POST","Default Suite","Tue Sep 16 15:24:39 IST 2025","passed","Tue Sep 16 15:24:39 IST 2025","com.avinashsinha.AAP10_PayloadManagement.APITesting27_Payload_Map","API_Automation_Programs","com.avinashsinha.AAP10_PayloadManagement.APITesting27_Payload_Map","test_POST"
"TC#2 Verify GET Request Negative","2155","test_NonBDDStyle_GET_Req_Negative","Default Suite","Thu Sep 11 13:15:28 IST 2025","passed","Thu Sep 11 13:15:30 IST 2025","com.avinashsinha.AAP03_GET_Request.APITesting06_Non_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP03_GET_Request.APITesting06_Non_BDD_Style","test_NonBDDStyle_GET_Req_Negative"
"","3","test_smokeRun","Default Suite","Sun Sep 14 19:52:16 IST 2025","failed","Sun Sep 14 19:52:16 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","test_smokeRun"
"","8489","test_POST","Default Suite","Mon Sep 15 20:11:50 IST 2025","passed","Mon Sep 15 20:11:58 IST 2025","com.avinashsinha.AAP9_Assertions.APITesting26_All_Assertions","API_Automation_Programs","com.avinashsinha.AAP9_Assertions.APITesting26_All_Assertions","test_POST"
"","6177","test_POST","Default Suite","Mon Sep 15 18:49:01 IST 2025","passed","Mon Sep 15 18:49:07 IST 2025","com.avinashsinha.AAP9_Assertions.APITesting23_RestAssured_Assertions","API_Automation_Programs","com.avinashsinha.AAP9_Assertions.APITesting23_RestAssured_Assertions","test_POST"
"TC#1 Verify GET Request Positive","3665","test_NonBDD_Style_POST_Req_Positive","Default Suite","Thu Sep 11 13:15:59 IST 2025","passed","Thu Sep 11 13:16:02 IST 2025","com.avinashsinha.AAP4_POST_Request.APITesting09_Non_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP4_POST_Request.APITesting09_Non_BDD_Style","test_NonBDD_Style_POST_Req_Positive"
"","15","test_regressionRun","Default Suite","Sun Sep 14 19:52:16 IST 2025","failed","Sun Sep 14 19:52:16 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","test_regressionRun"
"","1","t1","Default Suite","Sun Sep 14 18:39:01 IST 2025","passed","Sun Sep 14 18:39:01 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting14_TestNG","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting14_TestNG","t1"
"","4","test_smokeRun","All Test Suite","Sun Sep 14 21:13:02 IST 2025","failed","Sun Sep 14 21:13:02 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","test_smokeRun"
"","1","method2","Default Suite","Sun Sep 14 21:03:15 IST 2025","passed","Sun Sep 14 21:03:15 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting16_DependsOnMethod","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting16_DependsOnMethod","method2"
"","3","test_sanityRun","Default Suite","Sun Sep 14 19:52:16 IST 2025","passed","Sun Sep 14 19:52:16 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting15_Groups","test_sanityRun"
"TC#1 Verify GET Request Positive","82","test_NonBDDStyle_GET_Req_postive","Default Suite","Thu Sep 11 13:15:30 IST 2025","passed","Thu Sep 11 13:15:30 IST 2025","com.avinashsinha.AAP03_GET_Request.APITesting06_Non_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP03_GET_Request.APITesting06_Non_BDD_Style","test_NonBDDStyle_GET_Req_postive"
"","12","demo5","Default Suite","Mon Sep 15 16:59:25 IST 2025","passed","Mon Sep 15 16:59:25 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting21_All_Annotations_1","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting21_All_Annotations_1","demo5"
"","1","t3","Default Suite","Sun Sep 14 18:39:01 IST 2025","passed","Sun Sep 14 18:39:01 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting14_TestNG","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting14_TestNG","t3"
"","4447","test_CreateBooking_Positive","Default Suite","Tue Sep 16 20:49:28 IST 2025","passed","Tue Sep 16 20:49:32 IST 2025","com.avinashsinha.AAP10_PayloadManagement.Jackson.APITesting29_Jackson","API_Automation_Programs","com.avinashsinha.AAP10_PayloadManagement.Jackson.APITesting29_Jackson","test_CreateBooking_Positive"
"","2","test02","All Test Suite","Sun Sep 14 21:17:24 IST 2025","unknown","Sun Sep 14 21:17:24 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting18_Enabled","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting18_Enabled","test02"
"","7112","test_POST","Default Suite","Mon Sep 15 19:42:02 IST 2025","passed","Mon Sep 15 19:42:09 IST 2025","com.avinashsinha.AAP9_Assertions.APITesting25_AssertJ_Assertions","API_Automation_Programs","com.avinashsinha.AAP9_Assertions.APITesting25_AssertJ_Assertions","test_POST"
"","19","test_hardAssert","Default Suite","Mon Sep 15 18:56:03 IST 2025","failed","Mon Sep 15 18:56:03 IST 2025","com.avinashsinha.AAP9_Assertions.APITesting24_TestNG_Assertions","API_Automation_Programs","com.avinashsinha.AAP9_Assertions.APITesting24_TestNG_Assertions","test_hardAssert"
"","1","t2","Default Suite","Sun Sep 14 18:39:01 IST 2025","passed","Sun Sep 14 18:39:01 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting14_TestNG","API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting14_TestNG","t2"
"","1","test03","All Test Suite","Sun Sep 14 21:21:04 IST 2025","passed","Sun Sep 14 21:21:04 IST 2025","com.avinashsinha.AAP8_testNG_Examples.APITesting19_AlwaysRun","C:/Users/HP/Documents/API_Automation_Programs","com.avinashsinha.AAP8_testNG_Examples.APITesting19_AlwaysRun","test03"
"TC#1 Verify the DELETE Request","8250","test_Delete_Booking","Default Suite","Thu Sep 11 18:37:13 IST 2025","passed","Thu Sep 11 18:37:21 IST 2025","com.avinashsinha.AAP7_DELETE_Request.APITesting12_Non_BDD_Style","API_Automation_Programs","com.avinashsinha.AAP7_DELETE_Request.APITesting12_Non_BDD_Style","test_Delete_Booking"
